TITLE,SOURCE,PUBLISHED_AT,URL
Lasers Are Making It Easier to Find Buried Land Mines,Wired,2024-12-04 09:00:00.000 Z,https://www.wired.com/story/this-laser-system-can-locate-landmines-with-high-accuracy/
Spotify Wrapped is always a mess for parents. The new AI 'podcast' version just makes it worse.,Business Insider,2024-12-04 22:29:12.000 Z,https://www.businessinsider.com/spotify-wrapped-ai-podcast-weird-reviewed-2024-12
Black Friday Is Over and Time to Prepare Holiday Gift of Trusted Wellness Solutions EMF Protection With Exclusive 30% Off,Gizmodo.com,2024-12-03 14:14:16.000 Z,https://gizmodo.com/black-friday-is-over-and-time-to-prepare-holiday-gift-of-trusted-wellness-solutions-emf-protection-with-exclusive-30-off-2000533275
[Removed],[Removed],2024-12-04 12:00:22.000 Z,https://removed.com
"Crash prevention technology shows 'huge potential,' but the roadmap is up for debate",NPR,2024-12-02 10:00:00.000 Z,https://www.npr.org/2024/12/02/nx-s1-5165290/crash-prevention-technology-aeb-debate
TurboTax Dives Deeper Into Automated Tax Prep With Improved AI Features,CNET,2024-12-07 00:21:00.000 Z,https://www.cnet.com/personal-finance/taxes/turbotax-dives-deeper-into-automated-tax-prep-with-improved-ai-features/
"EcoFlow Delta 2 Portable Power Station Now $399 Down From $999, All-Time Low for Cyber Monday",Gizmodo.com,2024-12-02 16:25:06.000 Z,https://gizmodo.com/ecoflow-delta-2-portable-power-station-now-399-down-from-999-all-time-low-for-cyber-monday-2000532888
"The Latest iPad Air Is Back In Stock, Now at a Record Low For Cyber Monday",Gizmodo.com,2024-12-01 21:39:11.000 Z,https://gizmodo.com/the-latest-ipad-air-is-back-in-stock-now-at-a-record-low-for-cyber-monday-2000532550
OpenAI Continues Its Mission of ‘Ethical’ AI by Partnering With a Killer Robot Company,Gizmodo.com,2024-12-05 13:35:26.000 Z,https://gizmodo.com/openai-continues-its-mission-of-ethical-ai-by-partnering-with-a-killer-robot-company-2000534515
"Can Artificial Rain, Drones, or Satellites Clean Toxic Air?",Wired,2024-12-02 11:30:00.000 Z,https://www.wired.com/story/artificial-rain-drones-and-satellites-can-tech-clean-indias-toxic-air/
Why Soccer Players Are Training in the Dark,Wired,2024-12-06 11:00:00.000 Z,https://www.wired.com/story/why-soccer-players-are-training-in-the-dark-okkolo-football-sunderland-leeds-united-neuroscience/
The biggest news from Amazon re:Invent 2024,VentureBeat,2024-12-04 13:57:05.000 Z,https://venturebeat.com/ai/the-biggest-news-from-amazon-reinvent-2024/
"Amazon Cuts Prices on Beats Studio Pro Headphones, Now 54% Off for Cyber Monday",Gizmodo.com,2024-12-02 13:10:30.000 Z,https://gizmodo.com/amazon-cuts-prices-on-beats-studio-pro-headphones-now-54-off-for-cyber-monday-2000532644
Is Enron Coming Back as a Crypto Company?,Gizmodo.com,2024-12-03 13:25:41.000 Z,https://gizmodo.com/is-enron-coming-back-as-a-crypto-company-2000533233
Bose Goes Big This Cyber Monday: The Most Popular Headphones Are Now 43% Off at a Record Low,Gizmodo.com,2024-12-02 16:05:02.000 Z,https://gizmodo.com/bose-goes-big-this-cyber-monday-the-most-popular-headphones-are-now-43-off-at-a-record-low-2000532866
These Temporary Tattoos Can Read Your Brainwaves,Gizmodo.com,2024-12-03 19:25:35.000 Z,https://gizmodo.com/these-temporary-tattoos-can-read-your-brainwaves-2000533460
It’s a cross-platform world — 61% of U.S. gamers play across multiple devices | exclusive CTA survey,VentureBeat,2024-12-05 17:00:00.000 Z,https://venturebeat.com/games/its-a-cross-platform-world-61-of-u-s-gamers-play-across-multiple-devices-cta-survey/
iFixit now sells official Xbox parts,The Verge,2024-12-06 01:02:12.000 Z,https://www.theverge.com/2024/12/5/24314464/ifixit-now-sells-official-xbox-parts
Landlords Are Using AI to Raise Rents—and Cities Are Starting to Push Back,Gizmodo.com,2024-12-07 16:00:12.000 Z,https://gizmodo.com/landlords-are-using-ai-to-raise-rents-and-cities-are-starting-to-push-back-2000535519
Amazon Is Building a Mega AI Supercomputer With Anthropic,Wired,2024-12-03 18:13:31.000 Z,https://www.wired.com/story/amazon-reinvent-anthropic-supercomputer/
"Apple plans three-year modem rollout to compete with Qualcomm, Bloomberg News reports",Yahoo Entertainment,2024-12-06 17:52:07.000 Z,https://finance.yahoo.com/news/apple-plans-three-modem-rollout-175207839.html
